CustomerID,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,RFM_Level
14911.0,4,157,73847.19,4,4,4,444,12,VIPs
17841.0,1,123,40017.56,4,4,4,444,12,VIPs
15311.0,0,76,33025.05,4,4,4,444,12,VIPs
13089.0,2,77,29233.89,4,4,4,444,12,VIPs
12748.0,0,205,27945.96,4,4,4,444,12,VIPs
16029.0,38,49,25505.59,3,4,4,344,11,LOYAL
13798.0,1,48,22908.51,4,4,4,444,12,VIPs
13408.0,1,57,22897.13,4,4,4,444,12,VIPs
15039.0,9,47,19914.44,4,4,4,444,12,VIPs
16422.0,17,41,19362.12,4,4,4,444,12,VIPs
14156.0,9,30,15997.64,4,4,4,444,12,VIPs
16839.0,8,33,15606.41,4,4,4,444,12,VIPs
12921.0,9,36,15238.51,4,4,4,444,12,VIPs
15189.0,1,40,14941.27,4,4,4,444,12,VIPs
17949.0,1,31,14778.03,4,4,4,444,12,VIPs
16013.0,3,32,14743.82,4,4,4,444,12,VIPs
13078.0,3,26,12627.94,4,4,4,444,12,VIPs
13767.0,2,33,12471.86,4,4,4,444,12,VIPs
12682.0,3,31,12288.22,4,4,4,444,12,VIPs
14606.0,1,93,12156.65,4,4,4,444,12,VIPs
16525.0,2,25,12052.83,4,4,4,444,12,VIPs
15061.0,19,31,11952.93,3,4,4,344,11,LOYAL
17675.0,1,23,11641.68,4,4,4,444,12,VIPs
14051.0,8,19,11514.64,4,4,4,444,12,VIPs
16133.0,3,31,11232.19,4,4,4,444,12,VIPs
17735.0,2,17,11204.06,4,4,4,444,12,VIPs
12971.0,3,86,11189.91,4,4,4,444,12,VIPs
15856.0,4,22,10831.45,4,4,4,444,12,VIPs
17428.0,0,25,10678.35,4,4,4,444,12,VIPs
16779.0,2,22,10629.72,4,4,4,444,12,VIPs
14646.0,1,29,10515.65,4,4,4,444,12,VIPs
12681.0,14,19,10431.37,4,4,4,444,12,VIPs
13113.0,0,23,10284.91,4,4,4,444,12,VIPs
15078.0,7,32,9743.11,4,4,4,444,12,VIPs
13098.0,5,17,9635.15,4,4,4,444,12,VIPs
16523.0,1,21,9418.47,4,4,4,444,12,VIPs
13694.0,3,21,9407.32,4,4,4,444,12,VIPs
14194.0,4,19,9204.06,4,4,4,444,12,VIPs
17389.0,0,29,9172.0,4,4,4,444,12,VIPs
12621.0,23,16,9152.03,3,4,4,344,11,LOYAL
15498.0,2,24,9120.29,4,4,4,444,12,VIPs
14298.0,8,25,9090.26,4,4,4,444,12,VIPs
13319.0,5,25,8989.56,4,4,4,444,12,VIPs
17381.0,8,22,8897.27,4,4,4,444,12,VIPs
12471.0,10,23,8826.96,4,4,4,444,12,VIPs
17017.0,2,20,8694.26,4,4,4,444,12,VIPs
17243.0,1,26,8676.85,4,4,4,444,12,VIPs
17306.0,10,19,8631.31,4,4,4,444,12,VIPs
14527.0,2,55,8508.82,4,4,4,444,12,VIPs
15358.0,4,22,8347.2,4,4,4,444,12,VIPs
15615.0,31,21,8312.01,3,4,4,344,11,LOYAL
17865.0,44,18,8252.7,3,4,4,344,11,LOYAL
14056.0,1,23,8214.65,4,4,4,444,12,VIPs
14667.0,10,24,8171.91,4,4,4,444,12,VIPs
15159.0,1,24,8146.5,4,4,4,444,12,VIPs
13854.0,8,25,8109.52,4,4,4,444,12,VIPs
18109.0,1,26,8052.97,4,4,4,444,12,VIPs
14796.0,1,17,8022.49,4,4,4,444,12,VIPs
13199.0,3,37,7990.24,4,4,4,444,12,VIPs
14849.0,21,25,7930.54,3,4,4,344,11,LOYAL
12901.0,8,22,7927.68,4,4,4,444,12,VIPs
13629.0,23,11,7792.36,3,4,4,344,11,LOYAL
15044.0,19,17,7700.23,3,4,4,344,11,LOYAL
16656.0,22,14,7532.36,3,4,4,344,11,LOYAL
13263.0,1,35,7454.07,4,4,4,444,12,VIPs
12709.0,15,13,7394.36,4,4,4,444,12,VIPs
12474.0,17,18,7375.79,4,4,4,444,12,VIPs
15465.0,19,18,7354.62,3,4,4,344,11,LOYAL
12583.0,2,15,7281.38,4,4,4,444,12,VIPs
13018.0,16,28,7277.7,4,4,4,444,12,VIPs
18229.0,11,20,7276.9,4,4,4,444,12,VIPs
16923.0,12,19,7247.61,4,4,4,444,12,VIPs
16729.0,38,21,7239.92,3,4,4,344,11,LOYAL
16745.0,86,17,7194.3,2,4,4,244,10,REGULARS
13777.0,0,26,7128.16,4,4,4,444,12,VIPs
16558.0,0,19,7081.8,4,4,4,444,12,VIPs
16672.0,2,19,6959.5,4,4,4,444,12,VIPs
16187.0,31,15,6911.44,3,4,4,344,11,LOYAL
17677.0,1,23,6840.82,4,4,4,444,12,VIPs
15601.0,11,14,6776.56,4,4,4,444,12,VIPs
13576.0,10,18,6717.34,4,4,4,444,12,VIPs
13001.0,4,11,6701.22,4,4,4,444,12,VIPs
16746.0,4,18,6697.66,4,4,4,444,12,VIPs
16353.0,3,23,6675.71,4,4,4,444,12,VIPs
16033.0,5,18,6668.55,4,4,4,444,12,VIPs
18102.0,0,17,6602.21,4,4,4,444,12,VIPs
17811.0,4,38,6566.18,4,4,4,444,12,VIPs
16814.0,14,21,6509.1,4,4,4,444,12,VIPs
12431.0,35,15,6487.45,3,4,4,344,11,LOYAL
13102.0,1,24,6424.09,4,4,4,444,12,VIPs
13871.0,22,13,6403.25,3,4,4,344,11,LOYAL
15005.0,15,28,6316.57,4,4,4,444,12,VIPs
12980.0,157,8,6297.78,1,4,4,144,9,REGULARS
17315.0,1,38,6292.26,4,4,4,444,12,VIPs
12683.0,4,13,6288.72,4,4,4,444,12,VIPs
14367.0,8,13,6250.84,4,4,4,444,12,VIPs
17581.0,0,21,6245.78,4,4,4,444,12,VIPs
13488.0,17,11,6228.1,4,4,4,444,12,VIPs
14057.0,23,17,6217.96,3,4,4,344,11,LOYAL
15194.0,3,14,6194.86,4,4,4,444,12,VIPs
14060.0,4,19,6140.42,4,4,4,444,12,VIPs
13418.0,11,18,6127.43,4,4,4,444,12,VIPs
17509.0,57,8,6115.14,2,4,4,244,10,REGULARS
13090.0,8,12,6108.73,4,4,4,444,12,VIPs
14735.0,3,32,6065.69,4,4,4,444,12,VIPs
13985.0,4,14,6041.91,4,4,4,444,12,VIPs
13097.0,32,10,6010.42,3,4,4,344,11,LOYAL
13458.0,7,11,5956.39,4,4,4,444,12,VIPs
16684.0,11,15,5946.38,4,4,4,444,12,VIPs
13534.0,2,25,5870.08,4,4,4,444,12,VIPs
14031.0,7,11,5840.61,4,4,4,444,12,VIPs
13050.0,14,17,5836.86,4,4,4,444,12,VIPs
16713.0,18,14,5807.61,4,4,4,444,12,VIPs
12989.0,3,14,5782.91,4,4,4,444,12,VIPs
12720.0,2,25,5781.73,4,4,4,444,12,VIPs
13881.0,3,12,5763.52,4,4,4,444,12,VIPs
15218.0,10,11,5756.89,4,4,4,444,12,VIPs
15023.0,3,10,5750.77,4,4,4,444,12,VIPs
13178.0,26,11,5725.47,3,4,4,344,11,LOYAL
13468.0,1,37,5704.97,4,4,4,444,12,VIPs
15249.0,31,12,5686.64,3,4,4,344,11,LOYAL
14110.0,3,12,5683.15,4,4,4,444,12,VIPs
13004.0,11,18,5655.91,4,4,4,444,12,VIPs
18118.0,10,26,5653.82,4,4,4,444,12,VIPs
14688.0,7,21,5630.87,4,4,4,444,12,VIPs
17757.0,1,30,5605.29,4,4,4,444,12,VIPs
12839.0,2,14,5591.42,4,4,4,444,12,VIPs
16161.0,1,19,5575.56,4,4,4,444,12,VIPs
13969.0,7,15,5561.09,4,4,4,444,12,VIPs
16333.0,7,11,5559.92,4,4,4,444,12,VIPs
15144.0,8,16,5549.74,4,4,4,444,12,VIPs
16985.0,17,10,5464.12,4,4,4,444,12,VIPs
16265.0,9,9,5447.0,4,4,4,444,12,VIPs
18198.0,4,17,5425.56,4,4,4,444,12,VIPs
17719.0,37,15,5396.04,3,4,4,344,11,LOYAL
17850.0,372,34,5391.21,1,4,4,144,9,REGULARS
13269.0,1,15,5346.23,4,4,4,444,12,VIPs
13324.0,36,9,5338.71,3,4,4,344,11,LOYAL
17730.0,3,13,5298.48,4,4,4,444,12,VIPs
13668.0,2,20,5232.13,4,4,4,444,12,VIPs
13709.0,3,12,5230.81,4,4,4,444,12,VIPs
18226.0,44,11,5228.05,3,4,4,344,11,LOYAL
12362.0,3,10,5226.23,4,4,4,444,12,VIPs
18172.0,14,18,5212.88,4,4,4,444,12,VIPs
13756.0,2,14,5189.52,4,4,4,444,12,VIPs
16191.0,2,13,5180.52,4,4,4,444,12,VIPs
13599.0,1,21,5153.67,4,4,4,444,12,VIPs
18223.0,4,13,5095.49,4,4,4,444,12,VIPs
16700.0,8,13,5076.55,4,4,4,444,12,VIPs
12540.0,19,10,5076.19,3,4,4,344,11,LOYAL
14562.0,3,18,5074.77,4,4,4,444,12,VIPs
15301.0,50,12,5070.35,3,4,4,344,11,LOYAL
15694.0,0,13,5069.14,4,4,4,444,12,VIPs
15719.0,32,13,5045.61,3,4,4,344,11,LOYAL
14895.0,7,16,5020.57,4,4,4,444,12,VIPs
14755.0,9,11,5010.28,4,4,4,444,12,VIPs
15547.0,7,14,4954.84,4,4,4,444,12,VIPs
12437.0,1,18,4951.41,4,4,4,444,12,VIPs
14709.0,15,13,4921.04,4,4,4,444,12,VIPs
12664.0,8,9,4881.88,4,4,4,444,12,VIPs
17652.0,25,12,4867.72,3,4,4,344,11,LOYAL
15838.0,11,11,4857.96,4,4,4,444,12,VIPs
15738.0,18,16,4812.42,4,4,4,444,12,VIPs
13013.0,1,13,4810.94,4,4,4,444,12,VIPs
15555.0,12,16,4805.17,4,4,4,444,12,VIPs
14415.0,19,12,4804.33,3,4,4,344,11,LOYAL
15187.0,1,16,4777.18,4,4,4,444,12,VIPs
16553.0,163,11,4768.58,1,4,4,144,9,REGULARS
17690.0,30,15,4757.95,3,4,4,344,11,LOYAL
14180.0,10,25,4748.52,4,4,4,444,12,VIPs
15152.0,9,13,4745.69,4,4,4,444,12,VIPs
16722.0,17,13,4730.81,4,4,4,444,12,VIPs
14159.0,19,11,4693.01,3,4,4,344,11,LOYAL
14135.0,1,15,4690.31,4,4,4,444,12,VIPs
14191.0,1,13,4684.76,4,4,4,444,12,VIPs
15291.0,25,15,4668.3,3,4,4,344,11,LOYAL
14189.0,2,15,4654.08,4,4,4,444,12,VIPs
16931.0,5,21,4604.22,4,4,4,444,12,VIPs
17857.0,32,14,4592.44,3,4,4,344,11,LOYAL
14944.0,29,11,4591.43,3,4,4,344,11,LOYAL
14004.0,43,7,4582.64,3,4,4,344,11,LOYAL
17613.0,22,14,4559.15,3,4,4,344,11,LOYAL
17068.0,12,21,4552.14,4,4,4,444,12,VIPs
12415.0,24,11,4534.57,3,4,4,344,11,LOYAL
13267.0,2,19,4521.49,4,4,4,444,12,VIPs
17975.0,15,13,4488.81,4,4,4,444,12,VIPs
14733.0,16,9,4482.46,4,4,4,444,12,VIPs
14426.0,23,10,4481.67,3,4,4,344,11,LOYAL
17364.0,0,11,4481.18,4,4,4,444,12,VIPs
17716.0,22,10,4480.67,3,4,4,344,11,LOYAL
14085.0,2,18,4448.54,4,4,4,444,12,VIPs
14534.0,2,18,4447.05,4,4,4,444,12,VIPs
