InvoiceNo,InvoiceDate,CustomerID,Country,GrossSale
536365,2010-12-01 08:26:00,17850,United Kingdom,139.12
536366,2010-12-01 08:28:00,17850,United Kingdom,22.200000000000003
536367,2010-12-01 08:34:00,13047,United Kingdom,278.73
536368,2010-12-01 08:34:00,13047,United Kingdom,70.05000000000001
536369,2010-12-01 08:35:00,13047,United Kingdom,17.85
536370,2010-12-01 08:45:00,12583,France,855.86
536371,2010-12-01 09:00:00,13748,United Kingdom,204.0
536372,2010-12-01 09:01:00,17850,United Kingdom,22.200000000000003
536373,2010-12-01 09:02:00,17850,United Kingdom,259.86
536374,2010-12-01 09:09:00,15100,United Kingdom,350.4
536375,2010-12-01 09:32:00,17850,United Kingdom,259.86
536376,2010-12-01 09:32:00,15291,United Kingdom,328.8
536377,2010-12-01 09:34:00,17850,United Kingdom,22.200000000000003
536378,2010-12-01 09:37:00,14688,United Kingdom,444.98
536380,2010-12-01 09:41:00,17809,United Kingdom,34.8
536381,2010-12-01 09:41:00,15311,United Kingdom,449.98
536382,2010-12-01 09:45:00,16098,United Kingdom,430.6
536384,2010-12-01 09:53:00,18074,United Kingdom,489.6
536385,2010-12-01 09:56:00,17420,United Kingdom,130.85
536386,2010-12-01 09:57:00,16029,United Kingdom,508.20000000000005
536387,2010-12-01 09:58:00,16029,United Kingdom,3193.92
536388,2010-12-01 09:59:00,16250,United Kingdom,226.14
536389,2010-12-01 10:03:00,12431,Australia,358.25
536390,2010-12-01 10:19:00,17511,United Kingdom,1825.74
536392,2010-12-01 10:29:00,13705,United Kingdom,318.14
536393,2010-12-01 10:37:00,13747,United Kingdom,79.6
536394,2010-12-01 10:39:00,13408,United Kingdom,1024.68
536395,2010-12-01 10:47:00,13767,United Kingdom,507.88
536396,2010-12-01 10:51:00,17850,United Kingdom,376.36
536397,2010-12-01 10:51:00,17924,United Kingdom,279.0
536398,2010-12-01 10:52:00,13448,United Kingdom,426.56
536399,2010-12-01 10:52:00,17850,United Kingdom,22.200000000000003
536400,2010-12-01 10:53:00,13448,United Kingdom,17.4
536401,2010-12-01 11:21:00,15862,United Kingdom,354.23
536402,2010-12-01 11:22:00,15513,United Kingdom,357.0
536403,2010-12-01 11:27:00,12791,Netherlands,192.60000000000002
536404,2010-12-01 11:29:00,16218,United Kingdom,471.3
536405,2010-12-01 11:32:00,14045,United Kingdom,326.4
536406,2010-12-01 11:33:00,17850,United Kingdom,353.14
536407,2010-12-01 11:34:00,17850,United Kingdom,22.200000000000003
536408,2010-12-01 11:41:00,14307,United Kingdom,783.11
536409,2010-12-01 11:45:00,17908,United Kingdom,243.28
536412,2010-12-01 11:49:00,17920,United Kingdom,514.41
536415,2010-12-01 11:57:00,12838,United Kingdom,390.79
536416,2010-12-01 11:58:00,13255,United Kingdom,225.7
536420,2010-12-01 12:03:00,16583,United Kingdom,233.45
536423,2010-12-01 12:08:00,18085,United Kingdom,303.9
536425,2010-12-01 12:08:00,13758,United Kingdom,362.45
536437,2010-12-01 12:12:00,13694,United Kingdom,842.12
536446,2010-12-01 12:15:00,15983,United Kingdom,440.89
536460,2010-12-01 12:22:00,14849,United Kingdom,295.54
536463,2010-12-01 12:22:00,14849,United Kingdom,17.4
536464,2010-12-01 12:23:00,17968,United Kingdom,277.35
536466,2010-12-01 12:23:00,14849,United Kingdom,42.9
536477,2010-12-01 12:27:00,16210,United Kingdom,2474.7400000000002
536488,2010-12-01 12:31:00,17897,United Kingdom,165.89
536500,2010-12-01 12:35:00,17377,United Kingdom,223.9
536502,2010-12-01 12:36:00,16552,United Kingdom,95.29
536508,2010-12-01 12:38:00,17181,United Kingdom,155.52
536514,2010-12-01 12:40:00,17951,United Kingdom,295.5
536520,2010-12-01 12:43:00,14729,United Kingdom,313.49
536521,2010-12-01 12:48:00,12748,United Kingdom,4.95
536522,2010-12-01 12:49:00,15012,United Kingdom,191.06
536523,2010-12-01 12:50:00,12868,United Kingdom,203.3
536524,2010-12-01 12:51:00,17572,United Kingdom,70.80000000000001
536525,2010-12-01 12:54:00,14078,United Kingdom,136.24
536526,2010-12-01 12:58:00,14001,United Kingdom,301.24
536527,2010-12-01 13:04:00,12662,Germany,261.48
536528,2010-12-01 13:17:00,15525,United Kingdom,313.93
536529,2010-12-01 13:20:00,14237,United Kingdom,161.0
536530,2010-12-01 13:21:00,17905,United Kingdom,201.75
536531,2010-12-01 13:23:00,15485,United Kingdom,950.09
536532,2010-12-01 13:24:00,12433,Norway,1919.1399999999999
536533,2010-12-01 13:31:00,16955,United Kingdom,156.1
536534,2010-12-01 13:33:00,15350,United Kingdom,115.65
536535,2010-12-01 13:38:00,15605,United Kingdom,194.85000000000002
536536,2010-12-01 13:45:00,18144,United Kingdom,165.04999999999998
536537,2010-12-01 13:51:00,15922,United Kingdom,369.5
536538,2010-12-01 13:54:00,14594,United Kingdom,255.0
536539,2010-12-01 14:03:00,15165,United Kingdom,487.75
536540,2010-12-01 14:05:00,14911,EIRE,540.38
536541,2010-12-01 14:05:00,14911,EIRE,15.0
536542,2010-12-01 14:11:00,16456,United Kingdom,787.4
536551,2010-12-01 14:34:00,17346,United Kingdom,146.61
536556,2010-12-01 14:38:00,17643,United Kingdom,101.55
536557,2010-12-01 14:41:00,17841,United Kingdom,537.38
536559,2010-12-01 14:54:00,17873,United Kingdom,215.14999999999998
536560,2010-12-01 15:00:00,13093,United Kingdom,799.4
536561,2010-12-01 15:06:00,12921,United Kingdom,322.40000000000003
536562,2010-12-01 15:08:00,13468,United Kingdom,308.65000000000003
536563,2010-12-01 15:08:00,17760,United Kingdom,172.54
536564,2010-12-01 15:08:00,13468,United Kingdom,51.4
536566,2010-12-01 15:21:00,16928,United Kingdom,116.25
536567,2010-12-01 15:27:00,16048,United Kingdom,251.40000000000003
536568,2010-12-01 15:28:00,16048,United Kingdom,5.04
536569,2010-12-01 15:35:00,16274,United Kingdom,357.95
536570,2010-12-01 15:35:00,14496,United Kingdom,304.34000000000003
536571,2010-12-01 15:37:00,14696,United Kingdom,294.62
536572,2010-12-01 15:40:00,16539,United Kingdom,442.34999999999997
536573,2010-12-01 15:45:00,17025,United Kingdom,143.12
536574,2010-12-01 15:46:00,17025,United Kingdom,17.85
536575,2010-12-01 16:01:00,13777,United Kingdom,1552.98
536576,2010-12-01 16:11:00,13777,United Kingdom,2558.42
536577,2010-12-01 16:13:00,13777,United Kingdom,497.0
536578,2010-12-01 16:15:00,17690,United Kingdom,279.6
536579,2010-12-01 16:16:00,13777,United Kingdom,315.96000000000004
536580,2010-12-01 16:17:00,17690,United Kingdom,97.19999999999999
536581,2010-12-01 16:19:00,13777,United Kingdom,330.0
536582,2010-12-01 16:21:00,12947,United Kingdom,304.04
536583,2010-12-01 16:21:00,13777,United Kingdom,198.0
536584,2010-12-01 16:22:00,13777,United Kingdom,1132.8000000000002
536585,2010-12-01 16:24:00,17460,United Kingdom,19.9
536586,2010-12-01 16:25:00,18229,United Kingdom,344.2
536587,2010-12-01 16:33:00,14142,United Kingdom,311.81
536588,2010-12-01 16:49:00,17069,United Kingdom,277.05
536590,2010-12-01 16:52:00,13065,United Kingdom,205.86
536591,2010-12-01 16:57:00,14606,United Kingdom,159.26
536591,2010-12-01 16:58:00,14606,United Kingdom,39.06
536593,2010-12-01 17:15:00,16835,United Kingdom,81.75
536594,2010-12-01 17:22:00,15235,United Kingdom,79.5
536595,2010-12-01 17:24:00,13576,United Kingdom,349.15
536597,2010-12-01 17:35:00,18011,United Kingdom,102.78999999999999
536598,2010-12-02 07:48:00,13090,United Kingdom,160.6
536599,2010-12-02 07:49:00,15694,United Kingdom,306.4
536600,2010-12-02 08:32:00,17850,United Kingdom,251.62
536601,2010-12-02 08:33:00,17850,United Kingdom,22.200000000000003
536602,2010-12-02 08:34:00,17850,United Kingdom,163.76
536603,2010-12-02 08:40:00,17850,United Kingdom,22.200000000000003
536604,2010-12-02 08:43:00,14741,United Kingdom,184.5
536605,2010-12-02 08:52:00,13715,United Kingdom,272.65000000000003
536607,2010-12-02 09:29:00,17732,United Kingdom,303.97
536608,2010-12-02 09:37:00,12855,United Kingdom,38.1
536609,2010-12-02 09:41:00,17850,United Kingdom,244.46
536610,2010-12-02 09:42:00,17850,United Kingdom,22.200000000000003
536611,2010-12-02 09:43:00,15752,United Kingdom,259.65000000000003
536612,2010-12-02 09:44:00,17850,United Kingdom,206.76
536613,2010-12-02 09:44:00,17855,United Kingdom,208.97
536614,2010-12-02 09:44:00,17850,United Kingdom,22.200000000000003
536615,2010-12-02 10:09:00,14047,United Kingdom,286.92
536616,2010-12-02 10:10:00,17925,United Kingdom,244.08
536617,2010-12-02 10:17:00,13941,United Kingdom,1095.12
536618,2010-12-02 10:17:00,17017,United Kingdom,780.12
536619,2010-12-02 10:18:00,17017,United Kingdom,97.19999999999999
536620,2010-12-02 10:27:00,14135,United Kingdom,485.25
536621,2010-12-02 10:35:00,13108,United Kingdom,350.06
536623,2010-12-02 10:39:00,15601,United Kingdom,768.38
536624,2010-12-02 10:45:00,13418,United Kingdom,610.64
536626,2010-12-02 10:46:00,13418,United Kingdom,12.600000000000001
536627,2010-12-02 10:53:00,15658,United Kingdom,306.2
536628,2010-12-02 10:54:00,17850,United Kingdom,230.56
536629,2010-12-02 10:55:00,17850,United Kingdom,22.200000000000003
536630,2010-12-02 10:56:00,17850,United Kingdom,244.46
536631,2010-12-02 10:58:00,17850,United Kingdom,22.200000000000003
536632,2010-12-02 11:02:00,14388,United Kingdom,312.8
536633,2010-12-02 11:20:00,14901,United Kingdom,204.15
536634,2010-12-02 11:21:00,18041,United Kingdom,193.78
536635,2010-12-02 11:22:00,15955,United Kingdom,572.38
536636,2010-12-02 11:23:00,15070,United Kingdom,106.2
536637,2010-12-02 11:35:00,18041,United Kingdom,235.16
536638,2010-12-02 11:41:00,16244,United Kingdom,1056.63
536639,2010-12-02 11:45:00,15111,United Kingdom,288.5
536641,2010-12-02 11:46:00,12748,United Kingdom,4.25
536643,2010-12-02 11:57:00,14390,United Kingdom,223.7
536663,2010-12-02 12:07:00,16546,United Kingdom,299.40000000000003
536667,2010-12-02 12:09:00,15260,United Kingdom,362.5
536670,2010-12-02 12:09:00,15260,United Kingdom,58.0
536671,2010-12-02 12:10:00,13305,United Kingdom,136.2
536672,2010-12-02 12:10:00,14491,United Kingdom,127.2
536673,2010-12-02 12:11:00,14060,United Kingdom,339.84
536674,2010-12-02 12:16:00,15923,United Kingdom,127.08
536676,2010-12-02 12:18:00,16752,United Kingdom,207.5
536681,2010-12-02 12:22:00,17287,United Kingdom,113.92
536685,2010-12-02 12:23:00,17850,United Kingdom,380.46
536688,2010-12-02 12:24:00,17850,United Kingdom,22.200000000000003
536690,2010-12-02 12:25:00,17850,United Kingdom,331.26
536693,2010-12-02 12:26:00,17850,United Kingdom,22.200000000000003
536698,2010-12-02 12:28:00,15363,United Kingdom,326.0
536707,2010-12-02 12:33:00,12915,United Kingdom,199.65
536732,2010-12-02 12:47:00,15544,United Kingdom,354.54
536733,2010-12-02 12:50:00,15738,United Kingdom,329.65000000000003
536735,2010-12-02 12:58:00,17381,United Kingdom,211.2
536736,2010-12-02 12:59:00,17381,United Kingdom,824.88
536738,2010-12-02 13:06:00,15827,United Kingdom,98.18
536739,2010-12-02 13:08:00,14180,United Kingdom,201.75
536740,2010-12-02 13:08:00,15827,United Kingdom,92.75
536741,2010-12-02 13:11:00,13117,United Kingdom,202.12
536742,2010-12-02 13:14:00,16916,United Kingdom,198.08
536743,2010-12-02 13:32:00,17964,United Kingdom,261.76
536744,2010-12-02 13:36:00,14466,United Kingdom,379.75
536745,2010-12-02 13:38:00,17235,United Kingdom,341.9
536746,2010-12-02 13:39:00,16510,United Kingdom,248.1
536747,2010-12-02 13:44:00,17802,United Kingdom,100.2
536748,2010-12-02 13:45:00,15107,United Kingdom,116.0
536749,2010-12-02 13:49:00,17976,United Kingdom,353.19
536750,2010-12-02 14:04:00,17850,United Kingdom,434.8
536751,2010-12-02 14:05:00,17850,United Kingdom,22.200000000000003
536752,2010-12-02 14:06:00,17850,United Kingdom,390.66
536753,2010-12-02 14:07:00,17850,United Kingdom,22.200000000000003
536754,2010-12-02 14:09:00,14449,United Kingdom,210.24
536759,2010-12-02 14:26:00,16781,United Kingdom,311.25
536761,2010-12-02 14:30:00,13491,United Kingdom,98.9
536762,2010-12-02 14:40:00,16186,United Kingdom,307.68
536763,2010-12-02 14:42:00,17685,United Kingdom,452.52
536769,2010-12-02 14:47:00,17581,United Kingdom,668.4
536771,2010-12-02 14:49:00,17581,United Kingdom,118.38
536777,2010-12-02 15:00:00,15732,United Kingdom,138.1
536778,2010-12-02 15:03:00,13138,United Kingdom,193.23
536779,2010-12-02 15:08:00,15823,United Kingdom,15.0
536781,2010-12-02 15:14:00,17460,United Kingdom,50.400000000000006
536782,2010-12-02 15:18:00,17567,United Kingdom,517.95
536783,2010-12-02 15:19:00,15061,United Kingdom,4076.48
536784,2010-12-02 15:20:00,15061,United Kingdom,2170.9
536785,2010-12-02 15:22:00,15061,United Kingdom,2730.96
536786,2010-12-02 15:23:00,15061,United Kingdom,324.0
536787,2010-12-02 15:24:00,17850,United Kingdom,192.46
536788,2010-12-02 15:25:00,15061,United Kingdom,75.0
536789,2010-12-02 15:25:00,17850,United Kingdom,22.200000000000003
536790,2010-12-02 15:26:00,17850,United Kingdom,532.01
536791,2010-12-02 15:27:00,17850,United Kingdom,44.400000000000006
536792,2010-12-02 15:28:00,15061,United Kingdom,30.0
536793,2010-12-02 15:39:00,16203,United Kingdom,170.7
536794,2010-12-02 15:40:00,13767,United Kingdom,322.8
536795,2010-12-02 15:40:00,15640,United Kingdom,333.72
536796,2010-12-02 15:46:00,15574,United Kingdom,375.65
536797,2010-12-02 15:49:00,16770,United Kingdom,130.8
536798,2010-12-02 15:55:00,17838,United Kingdom,717.1600000000001
536799,2010-12-02 16:00:00,17228,United Kingdom,183.3
536800,2010-12-02 16:12:00,14829,United Kingdom,236.97
536802,2010-12-02 16:29:00,17412,United Kingdom,197.3
536803,2010-12-02 16:33:00,14911,EIRE,22.5
536804,2010-12-02 16:34:00,14031,United Kingdom,1714.25
536805,2010-12-02 16:38:00,14775,United Kingdom,406.56
536806,2010-12-02 16:42:00,12971,United Kingdom,45.12
536808,2010-12-02 16:46:00,17659,United Kingdom,247.8
536809,2010-12-02 16:48:00,15299,United Kingdom,1003.2
536810,2010-12-02 16:50:00,15299,United Kingdom,303.96
536811,2010-12-02 16:51:00,15299,United Kingdom,527.85
536813,2010-12-02 16:59:00,15646,United Kingdom,189.8
536819,2010-12-02 17:12:00,13402,United Kingdom,308.28000000000003
536821,2010-12-02 17:17:00,17757,United Kingdom,143.45000000000002
536823,2010-12-02 17:22:00,13011,United Kingdom,50.550000000000004
536824,2010-12-02 17:24:00,13798,United Kingdom,408.0
536830,2010-12-02 17:38:00,16754,United Kingdom,2002.4
536831,2010-12-02 17:40:00,16029,United Kingdom,569.4
536832,2010-12-02 17:41:00,16634,United Kingdom,164.8
536833,2010-12-02 17:48:00,18239,United Kingdom,438.1
536834,2010-12-02 17:51:00,14576,United Kingdom,35.400000000000006
536835,2010-12-02 18:06:00,13145,United Kingdom,295.0
536836,2010-12-02 18:08:00,18168,United Kingdom,263.3
536837,2010-12-02 18:15:00,14395,United Kingdom,308.68
536838,2010-12-02 18:23:00,14865,United Kingdom,37.2
536839,2010-12-02 18:25:00,15093,United Kingdom,623.73
